,Image,Id,class
0,00022e1a.jpg,w_e15442c,3741
1,000466c4.jpg,w_1287fbc,310
2,00087b01.jpg,w_da2efe0,3613
3,001296d5.jpg,w_19e5482,418
4,0014cfdf.jpg,w_f22f3e3,4012
5,0025e8c2.jpg,w_8b1ca89,2332
6,0026a8ab.jpg,w_eaad6a8,3889
7,0031c258.jpg,new_whale,0
8,0035632e.jpg,w_3d0bc7a,991
9,0037e7d3.jpg,w_50db782,1341
10,00389cd7.jpg,w_2863d51,651
11,0042dcc4.jpg,w_6dc7db6,1811
12,0042ea34.jpg,w_968f2ca,2530
13,00467ae9.jpg,w_fd1cb9d,4197
14,004a97f3.jpg,w_60759c2,1589
15,004c5fb9.jpg,w_ab6bb0a,2862
16,005c57e7.jpg,w_79b42cd,2030
17,006d0aaf.jpg,w_c9ba30c,3336
18,0078af23.jpg,w_e6ec8ee,3834
19,007c3603.jpg,new_whale,0
20,00863b8c.jpg,new_whale,0
21,008809b5.jpg,w_7e5cc5e,2104
22,008baccf.jpg,w_ab6db0f,2863
23,0091c92b.jpg,w_bc8d634,3140
24,009dca38.jpg,w_b59c523,3013
25,00a29f63.jpg,w_2850471,648
26,00aa021c.jpg,new_whale,0
27,00ab018e.jpg,w_51969d2,1355
28,00ac0e86.jpg,w_4be8a3e,1266
29,00acb5a9.jpg,w_c0cfd5b,3201
30,00ad9219.jpg,new_whale,0
31,00af84d8.jpg,w_339c8ae,845
32,00b2c0cd.jpg,w_7c7a78c,2074
33,00b588d6.jpg,w_25871da,614
34,00b7de10.jpg,w_97f5054,2559
35,00be7f73.jpg,w_6926f08,1738
36,00be9148.jpg,w_9c70a11,2636
37,00cf7bd3.jpg,w_8e4abc9,2392
38,00d3d48c.jpg,w_222dcb7,558
39,00d6b82e.jpg,w_36a4e8b,890
40,00ded600.jpg,new_whale,0
41,00eab0e6.jpg,w_886257d,2275
42,00ec0dcd.jpg,w_a2eb1bb,2729
43,00f22419.jpg,w_2ac8b4d,691
44,00f4c92c.jpg,w_9ea2cc3,2669
45,0101d22b.jpg,w_af67683,2916
46,010ecbb5.jpg,w_7b3f9d1,2058
